label,area,perim,circ,intensity,layer
642,383,107.32590180780451,0.4178299292065146,21.088772845953002,l5
643,109,36.970562748477136,1.0021304061097107,80.35779816513761,l5
644,76,30.14213562373095,1.051175952546438,48.026315789473685,l5
645,124,38.970562748477136,1.0260255951415216,106.80645161290323,l5
646,122,39.798989873223334,0.9678890925374921,195.30327868852459,l5
647,95,34.142135623730944,1.0241229604600302,224.97894736842105,l5
648,29,22.106601717798213,0.745699562298122,25.137931034482758,l5
649,342,75.94112549695429,0.7452155548386858,25.698830409356724,l5
650,74,36.17766952966369,0.7104939908120943,22.58108108108108,l5
651,86,33.55634918610404,0.9597517336201398,61.74418604651163,l5
652,180,48.38477631085023,0.9661952407962782,124.58333333333333,l5
653,129,41.45584412271572,0.9432526825829881,28.046511627906977,l5
654,102,35.79898987322333,1.0001577183361312,81.3529411764706,l5
655,26,23.035533905932738,0.6157248007453625,29.307692307692307,l5
656,65,39.14213562373095,0.5331313064881552,19.692307692307693,l5
657,271,74.31980515339464,0.6165524532329072,20.30627306273063,l5
658,94,33.55634918610404,1.0490309646545715,35.765957446808514,l5
659,199,51.45584412271571,0.9444816535430239,174.54773869346732,l5
660,130,40.14213562373095,1.0137999571234393,127.43846153846154,l5
661,225,58.38477631085023,0.8294555947688792,27.266666666666666,l5
662,130,40.384776310850235,1.0016542843214846,181.0076923076923,l5
663,165,46.384776310850235,0.9637022547707668,39.76969696969697,l5
664,62,41.31370849898476,0.4564710000913184,24.532258064516128,l5
665,179,52.04163056034262,0.8305410532749115,29.625698324022345,l5
666,149,45.45584412271571,0.9061846018290753,22.892617449664428,l5
667,25,19.31370849898476,0.8422063819572613,13.92,l5
668,94,33.55634918610404,1.0490309646545715,106.30851063829788,l5
669,235,55.698484809834994,0.9518992052626122,27.140425531914893,l5
670,117,51.31370849898477,0.5583787990364919,22.914529914529915,l5
671,160,46.04163056034261,0.9484806062401064,24.11875,l5
672,168,62.18376618407356,0.5459653769989391,15.583333333333334,l5
673,118,40.384776310850235,0.9091938888456552,26.14406779661017,l5
674,128,42.384776310850235,0.8953648536255958,27.703125,l5
675,2117,294.67009357883865,0.30637872181994213,20.597071327350022,l5
676,169,47.798989873223334,0.9295208395152793,25.449704142011836,l5
677,282,63.94112549695428,0.8667591187663611,27.113475177304963,l5
678,19,17.0,0.8261627739544092,21.31578947368421,l5
679,123,40.384776310850235,0.9477190536272508,29.349593495934958,l5
680,93,34.384776310850235,0.9884629733114125,116.59139784946237,l5
681,159,46.04163056034262,0.9425526024511054,25.07547169811321,l5
682,57,36.248737341529164,0.5451285815651146,16.736842105263158,l5
683,13,9.449747468305832,1.8294174228398592,73.15384615384616,l5
684,318,106.66904755831213,0.3512045626441494,18.232704402515722,l5
685,78,54.42031021678297,0.3309652831476637,15.782051282051283,l5
686,211,54.87005768508881,0.8806867974072655,22.75829383886256,l5
687,86,39.31370849898477,0.699230379656725,21.88372093023256,l5
688,134,41.21320343559643,0.9913840255116857,25.41044776119403,l5
689,79,30.14213562373095,1.0926697401469552,86.9493670886076,l5
690,155,53.24873734152916,0.6869465300019093,25.54193548387097,l5
691,255,68.698484809835,0.6789780387252349,21.658823529411766,l5
692,180,50.04163056034261,0.9032739060928333,26.444444444444443,l5
693,181,48.04163056034261,0.9854916764116717,29.16022099447514,l5
694,128,40.384776310850235,0.9862442184088464,36.4609375,l5
695,80,32.14213562373095,0.9730841361922956,64.4125,l5
696,123,38.384776310850235,1.0490518338717858,196.0081300813008,l5
697,65,35.31370849898476,0.654992858973137,25.16923076923077,l5
698,592,135.8467170879758,0.40311900700664743,16.535472972972972,l5
699,56,36.27817459305202,0.534696126432329,18.089285714285715,l5
700,169,46.04163056034262,1.001832640341112,156.2189349112426,l5
701,115,40.384776310850235,0.886078789976698,36.6,l5
702,348,74.04163056034261,0.7976955316904499,22.126436781609197,l5
703,89,35.59188309203678,0.8828723957849349,23.49438202247191,l5
704,324,65.94112549695427,0.9363585129016624,62.46913580246913,l5
705,834,266.99494936611666,0.14701776713381456,20.376498800959233,l5
706,259,86.00609665440987,0.43999845586507785,24.733590733590734,l5
707,29,1.4142135623730951,182.21237390820798,16.586206896551722,l5
708,59,25.485281374238568,1.1415186464044607,17.033898305084747,l5
709,863,261.58073580374355,0.15849265682745142,18.95944380069525,l5
710,134,42.72792206135786,0.922340155712112,112.05223880597015,l5
